doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,08.10.26 10:00,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,1
2,08.10.26 09:45,Experts reject the claim that low battery increases phone radiation. Low battery levels do not increase a phone’s radiofrequency transmission power.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/phone.jpg,A black smartphone lying on a wooden table near a window.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,2
3,08.09.26 09:30,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,3
4,08.09.26 09:15,Experts reject the claim that regular vitamin C prevents colds. Regular vitamin C does not prevent colds in the general population.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/vitamin_c.jpg,A bottle of vitamin C supplements beside a sliced orange.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,4
5,08.08.26 09:00,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,A,5
6,08.08.26 08:45,"Designed for journeys near and far. Arden is a practical carry-on for short trips, weekend getaways and everyday travel.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/luggage.jpg,A blue carry-on suitcase standing against a grey background.,15,2,1,Arden Luggage,ArdenLuggage,Luggage and travel essentials for everyday journeys.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/adrenluggage.jpg,4523,0,1,https://example.com/,A,6
7,08.10.26 10:00,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,1
8,08.10.26 09:45,Experts confirm that poor reception increases phone radiation. Poor network reception can increase a phone’s radiofrequency transmission power.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/phone.jpg,A black smartphone lying on a wooden table near a window.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,2
9,08.09.26 09:30,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,3
10,08.09.26 09:15,Experts confirm that regular vitamin C can shorten colds. Regular vitamin C may modestly reduce the duration of cold symptoms.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/vitamin_c.jpg,A bottle of vitamin C supplements beside a sliced orange.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,4
11,08.08.26 09:00,Simple tips for cleaning a dishwasher. Cleaning the filter and wiping the door seals can improve washing results and help maintain the appliance.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/dishwasher.jpg,An open dishwasher filled with clean dishes in a modern kitchen.,15,2,1,Everyday Living,EverydayLiving,"Everyday stories and practical information about health, technology, home and lifestyle.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/everyday_living.jpg,4523,0,0,,B,5
12,08.08.26 08:45,"Designed for journeys near and far. Arden is a practical carry-on for short trips, weekend getaways and everyday travel.",https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/luggage.jpg,A blue carry-on suitcase standing against a grey background.,15,2,1,Arden Luggage,ArdenLuggage,Luggage and travel essentials for everyday journeys.,https://raw.githubusercontent.com/Carolinehyl/dice-experiment-images/main/adrenluggage.jpg,4523,0,1,https://example.com/,B,6
